"","PUMA","ESRLEVEL","ESR","CLASS","CenTrN","DIS","CDF","Range0","Range1"
"1","100","Total",101805,0,1,0,0,0,0
"2","100","ESR0",16121,1,1,0.158351750896321,0.158351750896321,0,0.158352156318452
"3","100","ESR1",41274,2,1,0.405422130543686,0.563773881440008,0.158352156318452,0.563773887864054
"4","100","ESR2",654,3,1,0.00642404597023722,0.570197927410245,0.563773887864054,0.570197964490939
"5","100","ESR3",3775,4,1,0.0370806934826384,0.607278620892884,0.570197964490939,0.60727862182604
"6","100","ESR4",95,5,1,0.000933156524728648,0.608211777417612,0.60727862182604,0.608211777417612
"7","100","ESR5",0,6,1,0,0.608211777417612,0.608211777417612,0.608212169205835
"8","100","ESR6",39886,7,1,0.391788222582388,1,0.608212169205835,1
"9","200","Total",150434,0,2,0,0,0,0
"10","200","ESR0",29737,1,2,0.197674727787601,0.197674727787601,0,0.197675164251433
"11","200","ESR1",65659,2,2,0.436463831314729,0.634138559102331,0.197675164251433,0.634138565297738
"12","200","ESR2",932,3,2,0.00619540795298935,0.64033396705532,0.634138565297738,0.640333995439861
"13","200","ESR3",4270,4,2,0.0283845407288246,0.668718507784144,0.640333995439861,0.668718509446003
"14","200","ESR4",250,5,2,0.00166185835648856,0.670380366140633,0.668718509446003,0.670380366140633
"15","200","ESR5",0,6,2,0,0.670380366140633,0.670380366140633,0.670380695760267
"16","200","ESR6",49586,7,2,0.329619633859367,1,0.670380695760267,1
"17","301","Total",124871,0,3,0,0,0,0
"18","301","ESR0",26434,1,3,0.211690464559425,0.211690464559425,0,0.211690984744256
"19","301","ESR1",64956,2,3,0.520184830745329,0.731875295304754,0.211690984744256,0.731875305539317
"20","301","ESR2",1278,3,3,0.0102345620680542,0.742109857372809,0.731875305539317,0.742109881405611
"21","301","ESR3",3001,4,3,0.0240328018515108,0.766142659224319,0.742109881405611,0.766142662067253
"22","301","ESR4",355,5,3,0.00284293390779284,0.768985593132112,0.766142662067253,0.768985593132112
"23","301","ESR5",0,6,3,0,0.768985593132112,0.768985593132112,0.768985824146519
"24","301","ESR6",28847,7,3,0.231014406867888,1,0.768985824146519,1
"25","302","Total",122820,0,4,0,0,0,0
"26","302","ESR0",24878,1,4,0.202556586875102,0.202556586875102,0,0.202557128317864
"27","302","ESR1",66500,2,4,0.541442761765185,0.743999348640286,0.202557128317864,0.743999356212343
"28","302","ESR2",930,3,4,0.00757205666829507,0.751571405308582,0.743999356212343,0.751571423424524
"29","302","ESR3",2225,4,4,0.0181159420289855,0.769687347337567,0.751571423424524,0.769687353818596
"30","302","ESR4",796,5,4,0.00648102914834717,0.776168376485914,0.769687353818596,0.776168376485914
"31","302","ESR5",0,6,4,0,0.776168376485914,0.776168376485914,0.776168600317538
"32","302","ESR6",27491,7,4,0.223831623514086,1,0.776168600317538,1
"33","400","Total",167748,0,5,0,0,0,0
"34","400","ESR0",31746,1,5,0.189248157951213,0.189248157951213,0,0.189248666583208
"35","400","ESR1",85322,2,5,0.508631995612466,0.697880153563679,0.189248666583208,0.697880166696473
"36","400","ESR2",2203,3,5,0.0131327944297398,0.711012947993419,0.697880166696473,0.711012967892315
"37","400","ESR3",3338,4,5,0.0198988959629921,0.730911843956411,0.711012967892315,0.730911843956411
"38","400","ESR4",0,5,5,0,0.730911843956411,0.730911843956411,0.730911843956411
"39","400","ESR5",0,6,5,0,0.730911843956411,0.730911843956411,0.730912113044567
"40","400","ESR6",45139,7,5,0.269088156043589,1,0.730912113044567,1
"41","501","Total",120442,0,6,0,0,0,0
"42","501","ESR0",20670,1,6,0.171617874163498,0.171617874163498,0,0.171618390179505
"43","501","ESR1",62150,2,6,0.516016007704953,0.687633881868451,0.171618390179505,0.687633886841799
"44","501","ESR2",599,3,6,0.00497334816758274,0.692607230036034,0.687633886841799,0.692607252619518
"45","501","ESR3",2720,4,6,0.0225834841666528,0.715190714202687,0.692607252619518,0.715190714476678
"46","501","ESR4",33,5,6,0.000273990800551303,0.715464705003238,0.715190714476678,0.715464705003238
"47","501","ESR5",0,6,6,0,0.715464705003238,0.715464705003238,0.715464989538533
"48","501","ESR6",34270,7,6,0.284535294996762,1,0.715464989538533,1
"49","502","Total",131725,0,7,0,0,0,0
"50","502","ESR0",27048,1,7,0.205336876067565,0.205336876067565,0,0.205337395612071
"51","502","ESR1",68437,2,7,0.519544505598785,0.72488138166635,0.205337395612071,0.724881394222813
"52","502","ESR2",1654,3,7,0.0125564623268172,0.737437843993168,0.724881394222813,0.737437872453976
"53","502","ESR3",3749,4,7,0.0284608085025622,0.76589865249573,0.737437872453976,0.765898654112735
"54","502","ESR4",213,5,7,0.00161700512431201,0.767515657620042,0.765898654112735,0.767515657620042
"55","502","ESR5",0,6,7,0,0.767515657620042,0.767515657620042,0.767515890104384
"56","502","ESR6",30624,7,7,0.232484342379958,1,0.767515890104384,1
"57","503","Total",118265,0,8,0,0,0,0
"58","503","ESR0",24167,1,8,0.204346171732973,0.204346171732973,0,0.204346670637974
"59","503","ESR1",59003,2,8,0.498905001479728,0.7032511732127,0.204346670637974,0.703251182023422
"60","503","ESR2",1042,3,8,0.00881072168435294,0.712061894897053,0.703251182023422,0.71206191862343
"61","503","ESR3",2806,4,8,0.0237263772037374,0.735788272100791,0.71206191862343,0.735788272354458
"62","503","ESR4",30,5,8,0.000253667610873885,0.736041939711664,0.735788272354458,0.736041939711664
"63","503","ESR5",0,6,8,0,0.736041939711664,0.736041939711664,0.736042203669725
"64","503","ESR6",31217,7,8,0.263958060288336,1,0.736042203669725,1
"65","504","Total",120879,0,9,0,0,0,0
"66","504","ESR0",20428,1,9,0.168995441722714,0.168995441722714,0,0.168995925851471
"67","504","ESR1",58521,2,9,0.48412875685603,0.653124198578744,0.168995925851471,0.653124220236766
"68","504","ESR2",2618,3,9,0.0216580216580217,0.674782220236766,0.653124220236766,0.674782240281604
"69","504","ESR3",2423,4,9,0.0200448382266564,0.694827058463422,0.674782240281604,0.694827063633882
"70","504","ESR4",625,5,9,0.00517045971591426,0.699997518179336,0.694827063633882,0.699997518179336
"71","504","ESR5",0,6,9,0,0.699997518179336,0.699997518179336,0.699997818181818
"72","504","ESR6",36264,7,9,0.300002481820664,1,0.699997818181818,1
"73","505","Total",111661,0,10,0,0,0,0
"74","505","ESR0",21403,1,10,0.191678383679172,0.191678383679172,0,0.191678942414988
"75","505","ESR1",62389,2,10,0.558735816444417,0.750414200123589,0.191678942414988,0.750414211425655
"76","505","ESR2",1262,3,10,0.0113020660749949,0.761716266198583,0.750414211425655,0.761716286044366
"77","505","ESR3",2216,4,10,0.0198457832188499,0.781562049417433,0.761716286044366,0.781562049417433
"78","505","ESR4",0,5,10,0,0.781562049417433,0.781562049417433,0.781562049417433
"79","505","ESR5",0,6,10,0,0.781562049417433,0.781562049417433,0.781562267855384
"80","505","ESR6",24391,7,10,0.218437950582567,1,0.781562267855384,1
"81","506","Total",118737,0,11,0,0,0,0
"82","506","ESR0",27293,1,11,0.229860953199087,0.229860953199087,0,0.229861371299595
"83","506","ESR1",49644,2,11,0.418100507845069,0.647961461044156,0.229861371299595,0.647961488592435
"84","506","ESR2",3271,3,11,0.0275482789694872,0.675509740013644,0.647961488592435,0.675509772547732
"85","506","ESR3",3863,4,11,0.0325340879422589,0.708043827955902,0.675509772547732,0.708043829278152
"86","506","ESR4",157,5,11,0.00132225001473846,0.709366077970641,0.708043829278152,0.709366077970641
"87","506","ESR5",0,6,11,0,0.709366077970641,0.709366077970641,0.709366368604563
"88","506","ESR6",34509,7,11,0.290633922029359,1,0.709366368604563,1
"89","507","Total",107989,0,12,0,0,0,0
"90","507","ESR0",19609,1,12,0.181583309411144,0.181583309411144,0,0.181583844882349
"91","507","ESR1",57825,2,12,0.53547120540055,0.717054514811694,0.181583844882349,0.717054520978989
"92","507","ESR2",666,3,12,0.0061672948170647,0.723221809628758,0.717054520978989,0.723221837464927
"93","507","ESR3",3006,4,12,0.0278361684986434,0.751057978127402,0.723221837464927,0.751057979386789
"94","507","ESR4",136,5,12,0.00125938753021141,0.752317365657613,0.751057979386789,0.752317365657613
"95","507","ESR5",0,6,12,0,0.752317365657613,0.752317365657613,0.752317613340247
"96","507","ESR6",26747,7,12,0.247682634342387,1,0.752317613340247,1
"97","601","Total",137608,0,13,0,0,0,0
"98","601","ESR0",26665,1,13,0.19377507121679,0.19377507121679,0,0.193775569763386
"99","601","ESR1",68604,2,13,0.498546596128132,0.692321667344922,0.193775569763386,0.692321674117784
"100","601","ESR2",932,3,13,0.00677286204290448,0.699094529387826,0.692321674117784,0.699094564131446
"101","601","ESR3",4781,4,13,0.0347436195570025,0.733838148944829,0.699094564131446,0.733838150085751
"102","601","ESR4",157,5,13,0.00114092203941631,0.734979070984245,0.733838150085751,0.734979070984245
"103","601","ESR5",0,6,13,0,0.734979070984245,0.734979070984245,0.734979336005174
"104","601","ESR6",36469,7,13,0.265020929015755,1,0.734979336005174,1
"105","602","Total",112822,0,14,0,0,0,0
"106","602","ESR0",22063,1,14,0.195555831309496,0.195555831309496,0,0.195556341325274
"107","602","ESR1",57541,2,14,0.510015777064757,0.705571608374253,0.195556341325274,0.705571616112106
"108","602","ESR2",873,3,14,0.00773785254648916,0.713309460920742,0.705571616112106,0.713309483389764
"109","602","ESR3",2535,4,14,0.0224690219992555,0.735778482919998,0.713309483389764,0.735778495160518
"110","602","ESR4",1381,5,14,0.0122405204658666,0.748019003385864,0.735778495160518,0.748019003385864
"111","602","ESR5",0,6,14,0,0.748019003385864,0.748019003385864,0.748019255366861
"112","602","ESR6",28429,7,14,0.251980996614136,1,0.748019255366861,1
"113","700","Total",102477,0,15,0,0,0,0
"114","700","ESR0",22337,1,15,0.217970861754345,0.217970861754345,0,0.217971371654127
"115","700","ESR1",52253,2,15,0.509899782390195,0.72787064414454,0.217971371654127,0.727870650028787
"116","700","ESR2",603,3,15,0.00588424719693199,0.733754891341472,0.727870650028787,0.733754919308723
"117","700","ESR3",2866,4,15,0.0279672511880715,0.761722142529543,0.733754919308723,0.761722143885945
"118","700","ESR4",139,5,15,0.00135640192433424,0.763078544453877,0.761722143885945,0.763078544453877
"119","700","ESR5",0,6,15,0,0.763078544453877,0.763078544453877,0.763078781375333
