"","SUMLEV","STATE","COUNTY","TRACT","PUMA","CenTrN","GEOID10","AFFGEOID10","CLASS","HHTLEVEL","HHT","DIS","CDF","Range0","Range1"
"1",140,24,1,100,100,1,"24001000100","1400000US24001000100",0,"Total",1523,0,0,0,0
"2",140,24,1,100,100,1,"24001000100","1400000US24001000100",1,"MarriedFamilyHH",898,0.58962573867367,0.589625738673671,0,0.589625787918582
"3",140,24,1,100,100,1,"24001000100","1400000US24001000100",2,"OthMale",75,0.0492449113591596,0.63887065003283,0.589625787918582,0.638870723571898
"4",140,24,1,100,100,1,"24001000100","1400000US24001000100",3,"OthFemale",112,0.0735390676296783,0.712409717662508,0.638870723571898,0.712409848325673
"5",140,24,1,100,100,1,"24001000100","1400000US24001000100",4,"NonfMalone",199,0.130663164806303,0.843072882468812,0.712409848325673,0.843072912672357
"6",140,24,1,100,100,1,"24001000100","1400000US24001000100",5,"NonfMNalone",46,0.0302035456336179,0.873276428102429,0.843072912672357,0.873276539724228
"7",140,24,1,100,100,1,"24001000100","1400000US24001000100",6,"NonfFalone",170,0.111621799080762,0.984898227183191,0.873276539724228,0.984898242284964
"8",140,24,1,100,100,1,"24001000100","1400000US24001000100",7,"NonfFNalone",23,0.0151017728168089,1,0.984898242284964,1
"9",140,24,1,200,100,2,"24001000200","1400000US24001000200",0,"Total",1284,0,0,0,0
"10",140,24,1,200,100,2,"24001000200","1400000US24001000200",1,"MarriedFamilyHH",741,0.577102803738318,0.577102803738318,0,0.577102840342679
"11",140,24,1,200,100,2,"24001000200","1400000US24001000200",2,"OthMale",47,0.0366043613707165,0.613707165109034,0.577102840342679,0.613707239096573
"12",140,24,1,200,100,2,"24001000200","1400000US24001000200",3,"OthFemale",95,0.07398753894081,0.687694704049844,0.613707239096573,0.687694833333333
"13",140,24,1,200,100,2,"24001000200","1400000US24001000200",4,"NonfMalone",166,0.129283489096573,0.816978193146418,0.687694833333333,0.816978216510904
"14",140,24,1,200,100,2,"24001000200","1400000US24001000200",5,"NonfMNalone",30,0.0233644859813084,0.840342679127726,0.816978216510904,0.840342820093458
"15",140,24,1,200,100,2,"24001000200","1400000US24001000200",6,"NonfFalone",181,0.140965732087227,0.981308411214953,0.840342820093458,0.981308429906542
"16",140,24,1,200,100,2,"24001000200","1400000US24001000200",7,"NonfFNalone",24,0.0186915887850467,1,0.981308429906542,1
"17",140,24,1,300,100,3,"24001000300","1400000US24001000300",0,"Total",1133,0,0,0,0
"18",140,24,1,300,100,3,"24001000300","1400000US24001000300",1,"MarriedFamilyHH",545,0.481023830538394,0.481023830538394,0,0.481023894969109
"19",140,24,1,300,100,3,"24001000300","1400000US24001000300",2,"OthMale",73,0.0644307149161518,0.545454545454545,0.481023894969109,0.545454646954987
"20",140,24,1,300,100,3,"24001000300","1400000US24001000300",3,"OthFemale",115,0.101500441306267,0.646954986760812,0.545454646954987,0.646955113857017
"21",140,24,1,300,100,3,"24001000300","1400000US24001000300",4,"NonfMalone",144,0.127096204766108,0.77405119152692,0.646955113857017,0.774051228596646
"22",140,24,1,300,100,3,"24001000300","1400000US24001000300",5,"NonfMNalone",42,0.0370697263901147,0.811120917917034,0.774051228596646,0.811121097969991
"23",140,24,1,300,100,3,"24001000300","1400000US24001000300",6,"NonfFalone",204,0.180052956751986,0.99117387466902,0.811121097969991,0.991173883495146
