,X,CensusTrct,INCOME,CLASS,N_return,N_single,N_joint,N_head,N_dpnd,INC,INC_R,DIS,CDF,Range0,Range1
1,1793,24001000100,Total,0,16470,7930,6120,2100,8510,37350,3063,0,0,0,0
2,1794,24001000100,"$1 under $25,000",1,6960,4760,970,1120,2660,12530,966,0.315377081,0.315377081,0,0.315377323
3,1795,24001000100,"$25,000 under $50,000",2,4080,2020,1270,670,2210,9070,740,0.241593209,0.556970291,0.315377323,0.556970513
4,1796,24001000100,"$50,000 under $75,000",3,2290,770,1240,220,1300,6170,680,0.222004571,0.778974861,0.556970513,0.778974959
5,1797,24001000100,"$75,000 under $100,000",4,1440,230,1140,50,990,4260,298,0.097290238,0.8762651,0.778974959,0.876265223
6,1798,24001000100,"$100,000 under $200,000",5,1390,120,1240,40,1150,4570,379,0.1237349,1,0.876265223,1
7,1799,24001000100,"$200,000 or more",6,310,30,260,0,200,750,0,0,1,1,1
8,17931,24001000200,Total,0,16470,7930,6120,2100,8510,33580,2268,0,0,0,0
9,17941,24001000200,"$1 under $25,000",1,6960,4760,970,1120,2660,11330,757,0.33377425,0.33377425,0,0.333774493
10,17951,24001000200,"$25,000 under $50,000",2,4080,2020,1270,670,2210,8110,551,0.242945326,0.576719577,0.333774493,0.576719741
11,17961,24001000200,"$50,000 under $75,000",3,2290,770,1240,220,1300,5380,373,0.164462081,0.741181658,0.576719741,0.741181776
12,17971,24001000200,"$75,000 under $100,000",4,1440,230,1140,50,990,3890,267,0.117724868,0.858906526,0.741181776,0.858906645
13,17981,24001000200,"$100,000 under $200,000",5,1390,120,1240,40,1150,4120,271,0.119488536,0.978395062,0.858906645,0.978395082
14,17991,24001000200,"$200,000 or more",6,310,30,260,0,200,750,47,0.020723104,0.999118166,0.978395082,1
15,17932,24001000300,Total,0,16470,7930,6120,2100,8510,30780,1677,0,0,0,0
16,17942,24001000300,"$1 under $25,000",1,6960,4760,970,1120,2660,10480,571,0.340488968,0.340488968,0,0.34048921
17,17952,24001000300,"$25,000 under $50,000",2,4080,2020,1270,670,2210,7440,405,0.241502683,0.581991652,0.34048921,0.581991807
18,17962,24001000300,"$50,000 under $75,000",3,2290,770,1240,220,1300,4770,260,0.15503876,0.737030411,0.581991807,0.737030527
19,17972,24001000300,"$75,000 under $100,000",4,1440,230,1140,50,990,3550,193,0.115086464,0.852116875,0.737030527,0.852116998
20,17982,24001000300,"$100,000 under $200,000",5,1390,120,1240,40,1150,3790,206,0.122838402,0.974955277,0.852116998,0.974955302
21,17992,24001000300,"$200,000 or more",6,310,30,260,0,200,750,41,0.02444842,0.999403697,0.974955302,1
22,17933,24001000400,Total,0,16470,7930,6120,2100,8510,30780,2524,0,0,0,0
23,17943,24001000400,"$1 under $25,000",1,6960,4760,970,1120,2660,10480,859,0.340332805,0.340332805,0,0.340333047
24,17953,24001000400,"$25,000 under $50,000",2,4080,2020,1270,670,2210,7440,610,0.241679873,0.582012678,0.340333047,0.582012833
25,17963,24001000400,"$50,000 under $75,000",3,2290,770,1240,220,1300,4770,391,0.154912837,0.736925515,0.582012833,0.73692563
26,17973,24001000400,"$75,000 under $100,000",4,1440,230,1140,50,990,3550,291,0.115293185,0.8522187,0.73692563,0.852218824
27,17983,24001000400,"$100,000 under $200,000",5,1390,120,1240,40,1150,3790,311,0.123217116,0.975435816,0.852218824,0.975435841
28,17993,24001000400,"$200,000 or more",6,310,30,260,0,200,750,62,0.024564184,1,0.975435841,1
29,2836,24001000500,Total,0,21430,12140,5830,2970,9500,67050,39097,0,0,0,0
30,2837,24001000500,"$1 under $25,000",1,7660,5830,670,1030,2260,20940,11423,0.292170755,0.292170755,0,0.292170973
31,2838,24001000500,"$25,000 under $50,000",2,4920,2940,800,980,2310,15270,8513,0.217740492,0.509911246,0.292170973,0.50991139
32,2839,24001000500,"$50,000 under $75,000",3,3030,1600,820,480,1440,9930,5598,0.143182341,0.653093588,0.50991139,0.653093688
33,2840,24001000500,"$75,000 under $100,000",4,1900,790,820,240,910,7130,3906,0.099905364,0.752998951,0.653093688,0.752999113
34,2841,24001000500,"$100,000 under $200,000",5,2700,780,1670,200,1640,9750,6308,0.161342302,0.914341254,0.752999113,0.914341339
35,2842,24001000500,"$200,000 or more",6,1220,200,1050,40,940,4030,3349,0.085658746,1,0.914341339,1
36,17934,24001000600,Total,0,16470,7930,6120,2100,8510,30780,2369,0,0,0,0
37,17944,24001000600,"$1 under $25,000",1,6960,4760,970,1120,2660,10480,807,0.340650063,0.340650063,0,0.340650305
38,17954,24001000600,"$25,000 under $50,000",2,4080,2020,1270,670,2210,7440,573,0.241874209,0.582524272,0.340650305,0.582524427
39,17964,24001000600,"$50,000 under $75,000",3,2290,770,1240,220,1300,4770,367,0.154917687,0.737441959,0.582524427,0.737442074
40,17974,24001000600,"$75,000 under $100,000",4,1440,230,1140,50,990,3550,273,0.115238497,0.852680456,0.737442074,0.852680579
41,17984,24001000600,"$100,000 under $200,000",5,1390,120,1240,40,1150,3790,292,0.123258759,0.975939215,0.852680579,0.975939239
42,17994,24001000600,"$200,000 or more",6,310,30,260,0,200,750,58,0.024482904,1.000422119,0.975939239,1
43,17935,24001000700,Total,0,16470,7930,6120,2100,8510,30780,2795,0,0,0,0
44,17945,24001000700,"$1 under $25,000",1,6960,4760,970,1120,2660,10480,951,0.340250447,0.340250447,0,0.340250689
45,17955,24001000700,"$25,000 under $50,000",2,4080,2020,1270,670,2210,7440,675,0.241502683,0.581753131,0.340250689,0.581753286
46,17965,24001000700,"$50,000 under $75,000",3,2290,770,1240,220,1300,4770,433,0.154919499,0.73667263,0.581753286,0.736672745
47,17975,24001000700,"$75,000 under $100,000",4,1440,230,1140,50,990,3550,322,0.115205725,0.851878354,0.736672745,0.851878477
48,17985,24001000700,"$100,000 under $200,000",5,1390,120,1240,40,1150,3790,344,0.123076923,0.974955277,0.851878477,0.974955302
49,17995,24001000700,"$200,000 or more",6,310,30,260,0,200,750,68,0.024329159,0.999284436,0.974955302,1
50,17936,24001000800,Total,0,16470,7930,6120,2100,8510,30780,1647,0,0,0,0
51,17946,24001000800,"$1 under $25,000",1,6960,4760,970,1120,2660,10480,561,0.340619308,0.340619308,0,0.340619549
52,17956,24001000800,"$25,000 under $50,000",2,4080,2020,1270,670,2210,7440,398,0.241651488,0.582270795,0.340619549,0.58227095
53,17966,24001000800,"$50,000 under $75,000",3,2290,770,1240,220,1300,4770,255,0.154826958,0.737097753,0.58227095,0.737097869
54,17976,24001000800,"$75,000 under $100,000",4,1440,230,1140,50,990,3550,190,0.115361263,0.852459016,0.737097869,0.85245914
55,17986,24001000800,"$100,000 under $200,000",5,1390,120,1240,40,1150,3790,203,0.123254402,0.975713418,0.85245914,0.975713443
56,17996,24001000800,"$200,000 or more",6,310,30,260,0,200,750,40,0.024286582,1,0.975713443,1
57,17937,24001001000,Total,0,16470,7930,6120,2100,8510,30780,2325,0,0,0,0
58,17947,24001001000,"$1 under $25,000",1,6960,4760,970,1120,2660,10480,792,0.340645161,0.340645161,0,0.340645403
59,17957,24001001000,"$25,000 under $50,000",2,4080,2020,1270,670,2210,7440,562,0.24172043,0.582365591,0.340645403,0.582365746
60,17967,24001001000,"$50,000 under $75,000",3,2290,770,1240,220,1300,4770,360,0.15483871,0.737204301,0.582365746,0.737204416
61,17977,24001001000,"$75,000 under $100,000",4,1440,230,1140,50,990,3550,268,0.115268817,0.852473118,0.737204416,0.852473241
62,17987,24001001000,"$100,000 under $200,000",5,1390,120,1240,40,1150,3790,286,0.123010753,0.975483871,0.852473241,0.975483895
63,17997,24001001000,"$200,000 or more",6,310,30,260,0,200,750,57,0.024516129,1,0.975483895,1
64,17938,24001001100,Total,0,16470,7930,6120,2100,8510,30780,1556,0,0,0,0
65,17948,24001001100,"$1 under $25,000",1,6960,4760,970,1120,2660,10480,530,0.340616967,0.340616967,0,0.340617208
66,17958,24001001100,"$25,000 under $50,000",2,4080,2020,1270,670,2210,7440,376,0.241645244,0.582262211,0.340617208,0.582262366
67,17968,24001001100,"$50,000 under $75,000",3,2290,770,1240,220,1300,4770,241,0.154884319,0.73714653,0.582262366,0.737146645
68,17978,24001001100,"$75,000 under $100,000",4,1440,230,1140,50,990,3550,179,0.11503856,0.85218509,0.737146645,0.852185213
69,17988,24001001100,"$100,000 under $200,000",5,1390,120,1240,40,1150,3790,192,0.123393316,0.975578406,0.852185213,0.975578431
70,17998,24001001100,"$200,000 or more",6,310,30,260,0,200,750,38,0.024421594,1,0.975578431,1
71,17939,24001001200,Total,0,16470,7930,6120,2100,8510,30780,2218,0,0,0,0
72,17949,24001001200,"$1 under $25,000",1,6960,4760,970,1120,2660,10480,755,0.340396754,0.340396754,0,0.340396995
73,17959,24001001200,"$25,000 under $50,000",2,4080,2020,1270,670,2210,7440,536,0.241659152,0.582055906,0.340396995,0.582056061
74,17969,24001001200,"$50,000 under $75,000",3,2290,770,1240,220,1300,4770,344,0.15509468,0.737150586,0.582056061,0.737150702
75,17979,24001001200,"$75,000 under $100,000",4,1440,230,1140,50,990,3550,256,0.115419297,0.852569883,0.737150702,0.852570006
76,17989,24001001200,"$100,000 under $200,000",5,1390,120,1240,40,1150,3790,273,0.123083859,0.975653742,0.852570006,0.975653766
77,17999,24001001200,"$200,000 or more",6,310,30,260,0,200,750,54,0.024346258,1,0.975653766,1
78,179310,24001001300,Total,0,16470,7930,6120,2100,8510,30780,1476,0,0,0,0
79,179410,24001001300,"$1 under $25,000",1,6960,4760,970,1120,2660,10480,503,0.340785908,0.340785908,0,0.34078615
80,179510,24001001300,"$25,000 under $50,000",2,4080,2020,1270,670,2210,7440,357,0.241869919,0.582655827,0.34078615,0.582655982
81,179610,24001001300,"$50,000 under $75,000",3,2290,770,1240,220,1300,4770,229,0.155149051,0.737804878,0.582655982,0.737804993
82,179710,24001001300,"$75,000 under $100,000",4,1440,230,1140,50,990,3550,170,0.115176152,0.85298103,0.737804993,0.852981153
83,179810,24001001300,"$100,000 under $200,000",5,1390,120,1240,40,1150,3790,182,0.123306233,0.976287263,0.852981153,0.976287287
84,179910,24001001300,"$200,000 or more",6,310,30,260,0,200,750,36,0.024390244,1.000677507,0.976287287,1
85,179311,24001001401,Total,0,16470,7930,6120,2100,8510,30780,2885,0,0,0,0
86,179411,24001001401,"$1 under $25,000",1,6960,4760,970,1120,2660,10480,982,0.340381282,0.340381282,0,0.340381524
87,179511,24001001401,"$25,000 under $50,000",2,4080,2020,1270,670,2210,7440,697,0.241594454,0.581975737,0.340381524,0.581975892
88,179611,24001001401,"$50,000 under $75,000",3,2290,770,1240,220,1300,4770,447,0.154939341,0.736915078,0.581975892,0.736915193
89,179711,24001001401,"$75,000 under $100,000",4,1440,230,1140,50,990,3550,333,0.11542461,0.852339688,0.736915193,0.852339811
90,179811,24001001401,"$100,000 under $200,000",5,1390,120,1240,40,1150,3790,355,0.12305026,0.975389948,0.852339811,0.975389972
91,179911,24001001401,"$200,000 or more",6,310,30,260,0,200,750,70,0.024263432,0.99965338,0.975389972,1
92,179312,24001001402,Total,0,16470,7930,6120,2100,8510,67050,37349,0,0,0,0
93,179412,24001001402,"$1 under $25,000",1,6960,4760,970,1120,2660,20940,10827,0.289887279,0.289887279,0,0.289887496
94,179512,24001001402,"$25,000 under $50,000",2,4080,2020,1270,670,2210,15270,8091,0.216632306,0.506519586,0.289887496,0.506519728
95,179612,24001001402,"$50,000 under $75,000",3,2290,770,1240,220,1300,9930,5327,0.142627647,0.649147233,0.506519728,0.649147332
96,179712,24001001402,"$75,000 under $100,000",4,1440,230,1140,50,990,7130,3704,0.099172669,0.748319901,0.649147332,0.748320065
97,179812,24001001402,"$100,000 under $200,000",5,1390,120,1240,40,1150,9750,6093,0.163136898,0.911456799,0.748320065,0.911456888
98,179912,24001001402,"$200,000 or more",6,310,30,260,0,200,4030,3306,0.088516426,0.999973226,0.911456888,1
99,179313,24001001502,Total,0,16470,7930,6120,2100,8510,68710,36853,0,0,0,0
100,179413,24001001502,"$1 under $25,000",1,6960,4760,970,1120,2660,21470,10658,0.28920305,0.28920305,0,0.289203266
101,179513,24001001502,"$25,000 under $50,000",2,4080,2020,1270,670,2210,15700,7972,0.216318889,0.505521939,0.289203266,0.505522081
102,179613,24001001502,"$50,000 under $75,000",3,2290,770,1240,220,1300,10250,5252,0.142512143,0.648034081,0.505522081,0.64803418
103,179713,24001001502,"$75,000 under $100,000",4,1440,230,1140,50,990,7360,3648,0.098987871,0.747021952,0.64803418,0.747022116
104,179813,24001001502,"$100,000 under $200,000",5,1390,120,1240,40,1150,9900,6031,0.163650178,0.91067213,0.747022116,0.910672219
105,179913,24001001502,"$200,000 or more",6,310,30,260,0,200,4030,3294,0.08938214,1.00005427,0.910672219,1
106,1835,24001001503,Total,0,5620,2710,2220,590,2790,12190,1639,0,0,0,0
107,1836,24001001503,"$1 under $25,000",1,2130,1560,260,270,640,3520,522,0.318486882,0.318486882,0,0.31848714
108,1837,24001001503,"$25,000 under $50,000",2,1310,670,400,200,620,2720,423,0.258084198,0.57657108,0.31848714,0.576571272
109,1838,24001001503,"$50,000 under $75,000",3,880,320,450,90,480,2110,315,0.19219036,0.76876144,0.576571272,0.768761578
110,1839,24001001503,"$75,000 under $100,000",4,560,90,450,30,400,1650,227,0.138499085,0.907260525,0.768761578,0.907260616
111,1840,24001001503,"$100,000 under $200,000",5,680,70,600,0,590,2010,150,0.091519219,0.998779744,0.907260616,0.998779744
112,1841,24001001503,"$200,000 or more",6,60,0,60,0,60,180,0,0,0.998779744,0.998779744,1
113,18351,24001001600,Total,0,5620,2710,2220,590,2790,48460,37489,0,0,0,0
114,18361,24001001600,"$1 under $25,000",1,2130,1560,260,270,640,13980,10806,0.288244552,0.288244552,0,0.288244768
115,18371,24001001600,"$25,000 under $50,000",2,1310,670,400,200,620,10550,8095,0.215930006,0.504174558,0.288244768,0.504174701
116,18381,24001001600,"$50,000 under $75,000",3,880,320,450,90,480,7270,5368,0.143188669,0.647363227,0.504174701,0.647363326
117,18391,24001001600,"$75,000 under $100,000",4,560,90,450,30,400,5230,3744,0.099869295,0.747232522,0.647363326,0.747232686
