"","CensusTrct","INCOMECLASS","CLASS","INC","INC_R","DIS","CDF","Range0","Range1"
"1",24001000100,"Total",0,19820,702,0,0,0,0
"2",24001000100,"$1 under $25,000",1,8260,267,0.38034188034188,0.38034188034188,0,0.380342136752137
"3",24001000100,"$25,000 under $50,000",2,4950,180,0.256410256410256,0.636752136752137,0.380342136752137,0.636752307692308
"4",24001000100,"$50,000 under $75,000",3,2860,120,0.170940170940171,0.807692307692308,0.636752307692308,0.8076924002849
"5",24001000100,"$75,000 under $100,000",4,1750,65,0.0925925925925926,0.9002849002849,0.8076924002849,0.900284998575499
"6",24001000100,"$100,000 under $200,000",5,1690,69,0.0982905982905983,0.998575498575498,0.900284998575499,0.9985755
"7",24001000100,"$200,000 or more",6,310,1,0.00142450142450142,1,0.9985755,1
"8",24001000200,"Total",0,17890,14445,0,0,0,0
"9",24001000200,"$1 under $25,000",1,7490,6100,0.422291450328834,0.422291450328834,0,0.422291698096227
"10",24001000200,"$25,000 under $50,000",2,4440,3579,0.247767393561786,0.67005884389062,0.422291698096227,0.670058983246798
"11",24001000200,"$50,000 under $75,000",3,2540,2013,0.139356178608515,0.809415022499135,0.670058983246798,0.80941511007269
"12",24001000200,"$75,000 under $100,000",4,1580,1265,0.0875735548632745,0.896988577362409,0.80941511007269,0.896988661682243
"13",24001000200,"$100,000 under $200,000",5,1530,1218,0.0843198338525441,0.981308411214953,0.896988661682243,0.981308429906542
"14",24001000200,"$200,000 or more",6,310,270,0.0186915887850467,1,0.981308429906542,1
"15",24001000300,"Total",0,16470,16470,0,0,0,0
"16",24001000300,"$1 under $25,000",1,6960,6960,0.422586520947177,0.422586520947177,0,0.42258676867031
"17",24001000300,"$25,000 under $50,000",2,4080,4080,0.247723132969035,0.670309653916211,0.42258676867031,0.670309792956891
"18",24001000300,"$50,000 under $75,000",3,2290,2290,0.139040680024287,0.809350333940498,0.670309792956891,0.809350421372192
"19",24001000300,"$75,000 under $100,000",4,1440,1440,0.087431693989071,0.896782027929569,0.809350421372192,0.89678211232544
"20",24001000300,"$100,000 under $200,000",5,1390,1390,0.0843958712811172,0.981177899210686,0.89678211232544,0.981177918032787
"21",24001000300,"$200,000 or more",6,310,310,0.0188221007893139,1,0.981177918032787,1
"22",24001000400,"Total",0,16470,16470,0,0,0,0
"23",24001000400,"$1 under $25,000",1,6960,6960,0.422586520947177,0.422586520947177,0,0.42258676867031
"24",24001000400,"$25,000 under $50,000",2,4080,4080,0.247723132969035,0.670309653916211,0.42258676867031,0.670309792956891
"25",24001000400,"$50,000 under $75,000",3,2290,2290,0.139040680024287,0.809350333940498,0.670309792956891,0.809350421372192
"26",24001000400,"$75,000 under $100,000",4,1440,1440,0.087431693989071,0.896782027929569,0.809350421372192,0.89678211232544
"27",24001000400,"$100,000 under $200,000",5,1390,1390,0.0843958712811172,0.981177899210686,0.89678211232544,0.981177918032787
"28",24001000400,"$200,000 or more",6,310,310,0.0188221007893139,1,0.981177918032787,1
"29",24001000500,"Total",0,37900,18324,0,0,0,0
"30",24001000500,"$1 under $25,000",1,14620,7222,0.394127919668195,0.394127919668195,0,0.394128159462999
"31",24001000500,"$25,000 under $50,000",2,9000,4394,0.239794804627811,0.633922724296005,0.394128159462999,0.633922864330932
"32",24001000500,"$50,000 under $75,000",3,5320,2566,0.140034926871862,0.773957651167867,0.633922864330932,0.773957739139926
"33",24001000500,"$75,000 under $100,000",4,3340,1612,0.0879720585025104,0.861929709670378,0.773957739139926,0.861929812268064
"34",24001000500,"$100,000 under $200,000",5,4090,1880,0.102597686094739,0.964527395765117,0.861929812268064,0.964527431237721
