"","SUMLEV","STATE","COUNTY","TRACT","PUMA","CenTrN","GEOID10","AFFGEOID10","CLASS","HUPACLEVEL","HUPAC","DIS","CDF","Range0","Range1"
"1",140,24,1,100,100,1,"24001000100","1400000US24001000100",0,"Total",1523,0,0,0,0
"2",140,24,1,100,100,1,"24001000100","1400000US24001000100",1,"Under6",81,0.0531845042678923,0.0531845042678922,0,0.0531846677609979
"3",140,24,1,100,100,1,"24001000100","1400000US24001000100",2,"X6to17",249,0.16349310571241,0.216677609980302,0.0531846677609979,0.216677658568615
"4",140,24,1,100,100,1,"24001000100","1400000US24001000100",3,"Und6and6to17",74,0.0485883125410374,0.265265922521339,0.216677658568615,0.265266657255417
"5",140,24,1,100,100,1,"24001000100","1400000US24001000100",4,"NoChild",1119,0.73473407747866,1,0.265266657255417,1
"6",140,24,1,200,100,2,"24001000200","1400000US24001000200",0,"Total",1284,0,0,0,0
"7",140,24,1,200,100,2,"24001000200","1400000US24001000200",1,"Under6",67,0.0521806853582555,0.0521806853582554,0,0.0521808403426791
"8",140,24,1,200,100,2,"24001000200","1400000US24001000200",2,"X6to17",199,0.154984423676012,0.207165109034268,0.0521808403426791,0.207165157320872
"9",140,24,1,200,100,2,"24001000200","1400000US24001000200",3,"Und6and6to17",62,0.0482866043613707,0.255451713395639,0.207165157320872,0.255452457943925
"10",140,24,1,200,100,2,"24001000200","1400000US24001000200",4,"NoChild",956,0.744548286604361,1,0.255452457943925,1
"11",140,24,1,300,100,3,"24001000300","1400000US24001000300",0,"Total",1133,0,0,0,0
"12",140,24,1,300,100,3,"24001000300","1400000US24001000300",1,"Under6",58,0.0511915269196823,0.0511915269196823,0,0.0511916840247132
"13",140,24,1,300,100,3,"24001000300","1400000US24001000300",2,"X6to17",178,0.157105030891439,0.208296557811121,0.0511916840247132,0.208296624007061
"14",140,24,1,300,100,3,"24001000300","1400000US24001000300",3,"Und6and6to17",75,0.0661959399823478,0.274492497793469,0.208296624007061,0.274493223300971
"15",140,24,1,300,100,3,"24001000300","1400000US24001000300",4,"NoChild",822,0.725507502206531,1,0.274493223300971,1
"16",140,24,1,400,100,4,"24001000400","1400000US24001000400",0,"Total",1350,0,0,0,0
