SUMLEV,STATE,COUNTY,TRACT,PUMA,CenTrN,GEOID10,AFFGEOID10,CLASS,NPLEVEL,NP,DIS,CDF,Range0,Range1
140,24,1,100,100,1,24001000100,1400000US24001000100,0,Total,1523,0,0,0,0
140,24,1,100,100,1,24001000100,1400000US24001000100,1,one,369,0.242284964,0.242284964,0,0.242285364
140,24,1,100,100,1,24001000100,1400000US24001000100,2,two,609,0.39986868,0.642153644,0.242285364,0.64215381
140,24,1,100,100,1,24001000100,1400000US24001000100,3,three,252,0.165462902,0.807616546,0.64215381,0.807616672
140,24,1,100,100,1,24001000100,1400000US24001000100,4,four,191,0.125410374,0.933026921,0.807616672,0.933026959
140,24,1,100,100,1,24001000100,1400000US24001000100,5,five,59,0.03873933,0.971766251,0.933026959,0.971766271
140,24,1,100,100,1,24001000100,1400000US24001000100,6,six,30,0.019697965,0.991464215,0.971766271,0.991464224
140,24,1,100,100,1,24001000100,1400000US24001000100,7,sevenPlus,13,0.008535785,1,0.991464224,1
140,24,1,200,100,2,24001000200,1400000US24001000200,0,Total,1284,0,0,0,0
140,24,1,200,100,2,24001000200,1400000US24001000200,1,one,347,0.270249221,0.270249221,0,0.270249617
140,24,1,200,100,2,24001000200,1400000US24001000200,2,two,508,0.395638629,0.66588785,0.270249617,0.665888006
140,24,1,200,100,2,24001000200,1400000US24001000200,3,three,200,0.15576324,0.82165109,0.665888006,0.821651187
140,24,1,200,100,2,24001000200,1400000US24001000200,4,four,124,0.096573209,0.918224299,0.821651187,0.918224354
140,24,1,200,100,2,24001000200,1400000US24001000200,5,five,70,0.054517134,0.972741433,0.918224354,0.972741451
140,24,1,200,100,2,24001000200,1400000US24001000200,6,six,23,0.017912773,0.990654206,0.972741451,0.990654215
140,24,1,200,100,2,24001000200,1400000US24001000200,7,sevenPlus,12,0.009345794,1,0.990654215,1
140,24,1,300,100,3,24001000300,1400000US24001000300,0,Total,1133,0,0,0,0
140,24,1,300,100,3,24001000300,1400000US24001000300,1,one,348,0.307149162,0.307149162,0,0.307149519
140,24,1,300,100,3,24001000300,1400000US24001000300,2,two,405,0.357458076,0.664607237,0.307149519,0.664607384
140,24,1,300,100,3,24001000300,1400000US24001000300,3,three,166,0.14651368,0.811120918,0.664607384,0.811121041
140,24,1,300,100,3,24001000300,1400000US24001000300,4,four,140,0.123565755,0.934686673,0.811121041,0.934686715
140,24,1,300,100,3,24001000300,1400000US24001000300,5,five,48,0.042365402,0.977052074,0.934686715,0.977052091
140,24,1,300,100,3,24001000300,1400000US24001000300,6,six,19,0.016769638,0.993821712,0.977052091,0.993821718
140,24,1,300,100,3,24001000300,1400000US24001000300,7,sevenPlus,7,0.006178288,1,0.993821718,1
140,24,1,400,100,4,24001000400,1400000US24001000400,0,Total,1350,0,0,0,0
140,24,1,400,100,4,24001000400,1400000US24001000400,1,one,493,0.365185185,0.365185185,0,0.365185505
140,24,1,400,100,4,24001000400,1400000US24001000400,2,two,432,0.32,0.685185185,0.365185505,0.685185332
140,24,1,400,100,4,24001000400,1400000US24001000400,3,three,198,0.146666667,0.831851852,0.685185332,0.831851949
140,24,1,400,100,4,24001000400,1400000US24001000400,4,four,131,0.097037037,0.928888889,0.831851949,0.928888933
140,24,1,400,100,4,24001000400,1400000US24001000400,5,five,60,0.044444444,0.973333333,0.928888933,0.973333351
140,24,1,400,100,4,24001000400,1400000US24001000400,6,six,24,0.017777778,0.991111111,0.973333351,0.99111112
140,24,1,400,100,4,24001000400,1400000US24001000400,7,sevenPlus,12,0.008888889,1,0.99111112,1
140,24,1,500,100,5,24001000500,1400000US24001000500,0,Total,1044,0,0,0,0
140,24,1,500,100,5,24001000500,1400000US24001000500,1,one,386,0.369731801,0.369731801,0,0.369732094
140,24,1,500,100,5,24001000500,1400000US24001000500,2,two,306,0.293103448,0.662835249,0.369732094,0.66283539
140,24,1,500,100,5,24001000500,1400000US24001000500,3,three,147,0.140804598,0.803639847,0.66283539,0.80363997
140,24,1,500,100,5,24001000500,1400000US24001000500,4,four,129,0.123563218,0.927203065,0.80363997,0.927203108
140,24,1,500,100,5,24001000500,1400000US24001000500,5,five,45,0.043103448,0.970306513,0.927203108,0.970306529
140,24,1,500,100,5,24001000500,1400000US24001000500,6,six,16,0.01532567,0.985632184,0.970306529,0.985632198
140,24,1,500,100,5,24001000500,1400000US24001000500,7,sevenPlus,15,0.014367816,1,0.985632198,1
140,24,1,600,100,6,24001000600,1400000US24001000600,0,Total,1294,0,0,0,0
140,24,1,600,100,6,24001000600,1400000US24001000600,1,one,429,0.331530139,0.331530139,0,0.331530491
140,24,1,600,100,6,24001000600,1400000US24001000600,2,two,455,0.351622875,0.683153014,0.331530491,0.683153168
140,24,1,600,100,6,24001000600,1400000US24001000600,3,three,200,0.154559505,0.837712519,0.683153168,0.837712617
