PUMA,GEOID10,POP
100,24001000100,3718
100,24001000200,4564
100,24001000300,2780
100,24001000400,3022
100,24001000500,2734
100,24001000600,2965
100,24001000700,3387
100,24001000800,2213
100,24001001000,2547
100,24001001100,1493
100,24001001200,3164
100,24001001300,5268
100,24001001401,4110
100,24001001402,1589
100,24001001502,2055
100,24001001503,1968
100,24001001600,1766
100,24001001700,4818
100,24001001800,5411
100,24001001900,2623
100,24001002000,5552
100,24001002100,3466
100,24001002200,3874
1204,24003701101,4151
1204,24003701102,7508
1204,24003701200,8298
1204,24003701300,7906
1204,24003701400,3575
1204,24003702100,6722
1201,24003702204,4169
1201,24003702205,5322
1201,24003702206,6372
1201,24003702208,6962
1201,24003702209,4523
1204,24003702300,5423
1204,24003702402,6049
1204,24003702500,6669
1204,24003702601,5629
1204,24003702602,6021
1204,24003702701,4815
1204,24003702702,3857
1204,24003706101,3686
1204,24003706301,4663
1204,24003706302,3224
1204,24003706401,6442
1204,24003706402,3210
1204,24003706500,5222
1204,24003706600,4591
1204,24003706700,4890
1204,24003707001,6082
1204,24003707002,4696
1204,24003708001,3873
1204,24003708004,5485
1202,24003730100,7451
1202,24003730203,5303
1202,24003730204,5723
1202,24003730300,3113
1202,24003730401,4745
1202,24003730402,6136
1203,24003730502,6327
1203,24003730504,7630
1203,24003730505,4599
1203,24003730506,3888
1203,24003730601,6846
1203,24003730603,3107
1203,24003730604,6748
1203,24003730700,6978
1203,24003730800,2456
1203,24003730901,2608
1203,24003730902,4075
1203,24003731002,3234
1203,24003731003,4387
1203,24003731004,4258
1203,24003731102,7750
1203,24003731103,5422
1203,24003731104,4097
1203,24003731105,3572
1203,24003731201,6354
1203,24003731202,7686
1203,24003731203,7295
1203,24003731204,6115
1203,24003731303,6827
1203,24003731306,6293
1203,24003731307,6586
1202,24003731308,3688
1202,24003731309,5524
1202,24003731310,5247
1202,24003731311,8070
1201,24003740102,6497
1201,24003740103,8479
1201,24003740104,7984
1201,24003740105,3533
1201,24003740201,7238
1201,24003740203,5402
1201,24003740303,4211
1201,24003740304,3950
1201,24003740305,10161
1201,24003740400,4716
1201,24003740500,9284
1201,24003740601,3661
1201,24003740602,3959
1201,24003740603,1730
1201,24003740701,5893
1201,24003740702,9644
1201,24003740800,4396
1201,24003740900,6950
1201,24003741000,2366
1202,24003750101,4292
1202,24003750102,2533
1202,24003750201,2741
1202,24003750202,3426
1202,24003750203,1463
1202,24003750300,2655
1202,24003750400,4090
1202,24003750801,5849
1202,24003750803,6884
1202,24003750804,4016
1202,24003750900,3066
1202,24003751000,3893
1202,24003751102,4037
1202,24003751103,5865
1201,24003751200,3891
1201,24003751400,4169
1201,24003751500,6809
1204,24003751600,4950
1201,24003751700,2782
1201,24003980000,18
0,24003990000,0
507,24005400100,4351
507,24005400200,2525
507,24005400400,5961
507,24005400500,2418
507,24005400600,2871
507,24005400701,2789
507,24005400702,1795
507,24005400800,2712
507,24005400900,1944
507,24005401000,2409
507,24005401101,6487
507,24005401102,962
503,24005401200,3270
507,24005401301,3891
507,24005401302,2650
507,24005401400,1495
507,24005401503,6490
507,24005401504,5846
507,24005401505,4039
507,24005401506,4523
507,24005401507,5129
501,24005402201,3441
501,24005402202,1697
502,24005402302,4990
502,24005402303,6426
503,24005402304,3593
503,24005402305,1977
