"","SUMLEV","STATE","COUNTY","TRACT","PUMA","CenTrN","GEOID10","AFFGEOID10","CLASS","SEXLEVEL","SEX","DIS","CDF","Range0","Range1"
"1",140,24,1,"100",100,1,24001000100,"1400000US24001000100",0,"Total",3718,0,0,0,0
"2",140,24,1,"100",100,1,24001000100,"1400000US24001000100",1,"Male",1900,0.511027434104357,0.511027434104357,0,0.511027923076923
"3",140,24,1,"100",100,1,24001000100,"1400000US24001000100",2,"Female",1818,0.488972565895643,1,0.511027923076923,1
"4",140,24,1,"200",100,2,24001000200,"1400000US24001000200",0,"Total",4564,0,0,0,0
"5",140,24,1,"200",100,2,24001000200,"1400000US24001000200",1,"Male",3032,0.66432953549518,0.66432953549518,0,0.664329871165644
"6",140,24,1,"200",100,2,24001000200,"1400000US24001000200",2,"Female",1532,0.33567046450482,1,0.664329871165644,1
"7",140,24,1,"300",100,3,24001000300,"1400000US24001000300",0,"Total",2780,0,0,0,0
"8",140,24,1,"300",100,3,24001000300,"1400000US24001000300",1,"Male",1369,0.492446043165468,0.492446043165468,0,0.492446550719424
"9",140,24,1,"300",100,3,24001000300,"1400000US24001000300",2,"Female",1411,0.507553956834532,1,0.492446550719424,1
"10",140,24,1,"400",100,4,24001000400,"1400000US24001000400",0,"Total",3022,0,0,0,0
"11",140,24,1,"400",100,4,24001000400,"1400000US24001000400",1,"Male",1455,0.481469225678359,0.481469225678359,0,0.481469744209133
"12",140,24,1,"400",100,4,24001000400,"1400000US24001000400",2,"Female",1567,0.518530774321641,1,0.481469744209133,1
"13",140,24,1,"500",100,5,24001000500,"1400000US24001000500",0,"Total",2734,0,0,0,0
"14",140,24,1,"500",100,5,24001000500,"1400000US24001000500",1,"Male",1315,0.480980248719824,0.480980248719824,0,0.480980767739576
"15",140,24,1,"500",100,5,24001000500,"1400000US24001000500",2,"Female",1419,0.519019751280176,1,0.480980767739576,1
"16",140,24,1,"600",100,6,24001000600,"1400000US24001000600",0,"Total",2965,0,0,0,0
"17",140,24,1,"600",100,6,24001000600,"1400000US24001000600",1,"Male",1383,0.466441821247892,0.466441821247892,0,0.466442354806071
"18",140,24,1,"600",100,6,24001000600,"1400000US24001000600",2,"Female",1582,0.533558178752108,1,0.466442354806071,1
"19",140,24,1,"700",100,7,24001000700,"1400000US24001000700",0,"Total",3387,0,0,0,0
"20",140,24,1,"700",100,7,24001000700,"1400000US24001000700",1,"Male",1542,0.455270150575731,0.455270150575731,0,0.45527069530558
"21",140,24,1,"700",100,7,24001000700,"1400000US24001000700",2,"Female",1845,0.544729849424269,1,0.45527069530558,1
"22",140,24,1,"800",100,8,24001000800,"1400000US24001000800",0,"Total",2213,0,0,0,0
"23",140,24,1,"800",100,8,24001000800,"1400000US24001000800",1,"Male",1077,0.486669679168549,0.486669679168549,0,0.48667019249887
"24",140,24,1,"800",100,8,24001000800,"1400000US24001000800",2,"Female",1136,0.51333032083145,1,0.48667019249887,1
"25",140,24,1,"1000",100,9,24001001000,"1400000US24001001000",0,"Total",2547,0,0,0,0
"26",140,24,1,"1000",100,9,24001001000,"1400000US24001001000",1,"Male",1220,0.478994895956027,0.478994895956027,0,0.478995416961131
"27",140,24,1,"1000",100,9,24001001000,"1400000US24001001000",2,"Female",1327,0.521005104043973,1,0.478995416961131,1
